Category,Issue,Full text,Short text
Chat Issues,Emergency Chat Maintenance,League of Legends chat is currently offline for maintenance. ,Chat is currently offline for maintenance.
Chat Issues,Friends List Not Loading,Some of you may be experiencing issues loading your Friends List. We’re aware of the problem and are working as quickly as we can to fix it. ,We’re working on fixing an issue that might prevent your Friends List from loading.
Chat Issues,Disconnect from Chat,"Some of you may be experiencing intermittent chat outages. We’re aware of the problem and are we’re working as quickly as we can to fix it. Should you become disconnected from chat, use the Reconnect button to reestablish your connection.",We’re working on fixing an issue that might cause you to disconnect from chat.
Downtime/Login Issues,General Login Issues,Some of you may be having trouble logging in. We’re aware of the issue and working as quickly as we can to fix it.,We’re working on fixing an issue that might cause you to have trouble logging in.
Downtime/Login Issues,Emergency Maintenance,League of Legends is currently offline for maintenance.,League of Legends is currently offline for maintenance.
Downtime/Login Issues,Extended Maintenance,We’ve run into some unforeseen complications and are extending our maintenance window.,We’ve extended our maintenance window.
Downtime/Login Issues,Games Crashing,Some of you may be experiencing intermittent crashes in game. We’re aware of the issue and are working as quickly as we can to fix it.,We’re working on fixing an issue that might cause your game to crash intermittently.
Downtime/Login Issues,Disconnect,Some of you may be disconnecting from games intermittently. We’re aware of the issue and are working as quickly as we can to fix it.,We’re working on fixing an issue that might cause you to disconnect from games intermittently.
Scheduled Maintenance,Scheduled Maintenance,League of Legends is currently offline for scheduled maintenance.,League of Legends is currently offline for scheduled maintenance.
Scheduled Maintenance,Extended Maintenance,We’ve run into some issues with the patch and are extending our scheduled maintenance window. ,We’ve extended our scheduled maintenance window.
